country_code,bucket,sex,pop
ECS,3544,female,65496788.0
ECS,4554,male,61202916.0
ECS,4554,female,63103299.0
ECS,55plus,male,56154854.0
ECS,55plus,female,61412388.0
ECU,1014,male,797717.0
ECU,1014,female,765443.0
ECU,1519,male,809587.0
ECU,1519,female,777827.0
ECU,2024,male,789221.0
ECU,2024,female,762816.0
ECU,2534,male,1530768.0
ECU,2534,female,1503416.0
ECU,3544,male,1310527.0
ECU,3544,female,1311486.0
ECU,4554,male,1012585.0
ECU,4554,female,1038963.0
ECU,55plus,male,726332.0
ECU,55plus,female,772992.0
EGY,1014,male,6588179.0
EGY,1014,female,6290464.0
EGY,1519,male,5644245.0
EGY,1519,female,5390361.0
EGY,2024,male,5042469.0
EGY,2024,female,4848741.0
EGY,2534,male,9084764.0
EGY,2534,female,8691107.0
EGY,3544,male,8140037.0
EGY,3544,female,7945153.0
EGY,4554,male,5975901.0
EGY,4554,female,5797744.0
EGY,55plus,male,4054198.0
EGY,55plus,female,4160093.0
EMU,1014,male,8969588.0
EMU,1014,female,8505191.0
EMU,1519,male,9484743.0
EMU,1519,female,9000313.0
EMU,2024,male,9748176.0
EMU,2024,female,9215904.0
EMU,2534,male,20411420.0
EMU,2534,female,19380005.0
